file_name.x	Date	Lab	Plate	background_mean	background_SD	threshold	Reference1_val	Reference1_titre	Reference2_val	Reference2_titre	Control1_val	Control1_titre	Control2_val	Control2_titre	Infected1_val	Infected1_titre	Infected2_val	Infected2_titre	Infected3_val	Infected3_titre	Infected4_val	Infected4_titre	file_name.y	inv_Reference1_titre	inv_Reference2_titre	inv_Control1_titre	inv_Control2_titre	inv_Infected1_titre	inv_Infected2_titre	inv_Infected3_titre	inv_Infected4_titre	Reference_average	inv_Reference1_titre_norm	inv_Reference2_titre_norm	inv_Control1_titre_norm	inv_Control2_titre_norm	inv_Infected1_titre_norm	inv_Infected2_titre_norm	inv_Infected3_titre_norm	inv_Infected4_titre_norm
2023-01-24 plate_5.csv	2023-01-24	Demengeot	plate_5	2.4415	0.07056101716144077	2.5826220343228816	2.635	9.28266564464916e-8	2.647	3.71306625785966e-7	2.642	9.50544962012074e-5	2.696	9.28266564464916e-8	2.701	0.00152087193921932	2.868	0.00152087193921932	2.65	9.50544962012074e-5	2.71	3.71306625785966e-7	2023-01-24 plate_5	10772767.632500406	2693191.908125105	10520.280891113678	10772767.632500406	657.5175556946043	657.5175556946043	10520.280891113678	2693191.908125105	2.320666411162288e-7	46421008985539.41	11605252246384.865	45333016587.44083	46421008985539.41	2833313536.7150493	2833313536.7150493	45333016587.44083	11605252246384.865
2023-01-24 plate_6.csv	2023-01-24	Demengeot	plate_6	2.530125	0.15205585205067626	2.8342367041013525	3.024	5.13896816876722e-7	3.243	2.05558726750689e-6	3.028	0.00210492136192705	2.992	0.00841968544770822	3.007	2.05558726750689e-6	3.513	1.31557585120441e-4	2.892	5.26230340481763e-4	3.176	0.00841968544770822	2023-01-24 plate_6	1945915.925452966	486478.9813632411	475.0771302375413	118.76928255938503	486478.9813632411	7601.234083800639	1900.3085209501633	118.76928255938503	1.284742042191806e-6	1514635515572.5884	378658878893.1468	369784061.41908956	92446015.35477217	378658878893.1468	5916544982.705416	1479136245.6763566	92446015.35477217
2023-02-14 plate_1.csv	2023-02-14	Demengeot	plate_1	2.6635	0.14221412427342497	2.94792824854685	3.121	8.12156390981831e-6	3.541	8.12156390981831e-6	3.582	0.133063703098463	3.118	0.0332659257746158	3.464	0.133063703098463	3.03	0.00831648144365395	2.95	0.00207912036091349	3.065	0.00831648144365395	2023-02-14 plate_1	123128.99474829983	123128.99474829983	7.51519743336792	30.060789733471637	7.51519743336792	120.24315893388655	480.97263573554557	120.24315893388655	8.12156390981831e-6	15160749347.726845	15160749347.726845	925338.7053055948	3701354.821222374	925338.7053055948	14805419.284889497	59221677.13955791	14805419.284889497
2023-02-14 plate_2.csv	2023-02-14	Demengeot	plate_2	1.252	0.06847940253410928	1.3889588050682184	1.453	4.62870934211333e-7	1.592	4.62870934211333e-7	1.491	0.00189591934652962	1.467	0.00189591934652962	1.389	4.73979836632405e-4	1.481	0.00189591934652962	1.535	1.85148373684533e-6	1.539	4.73979836632405e-4	2023-02-14 plate_2	2160429.454711516	2160429.454711516	527.4485973416787	527.4485973416787	2109.7943893667148	527.4485973416787	540107.3636778794	2109.7943893667148	4.62870934211333e-7	4667455428785.098	4667455428785.098	1139515485.5432367	1139515485.5432367	4558061942.172947	1139515485.5432367	1166863857196.2754	4558061942.172947
2023-02-14 plate_3.csv	2023-02-14	Demengeot	plate_3	2.9865	0.24280385970102353	3.472107719402047	3.828	1.89340068531263e-6	3.688	1.89340068531263e-6	3.624	0.00193884230176013	3.695	0.00775536920704052	3.653	0.00193884230176013	4.251	0.0310214768281621	4.024	0.00775536920704052	3.484	1.21177643860008e-4	2023-02-14 plate_3	528150.2260758316	528150.2260758316	515.7717051521802	128.94292628804504	515.7717051521802	32.23573157201123	128.94292628804504	8252.34728243489	1.89340068531263e-6	278942661303.952	278942661303.952	272404942.6796411	68101235.66991028	272404942.6796411	17025308.917477556	68101235.66991028	4358479082.874262
2023-02-14 plate_4.csv	2023-02-14	Demengeot	plate_4	2.21775	0.0760671695655509	2.3698843391311017	2.811	1.52122129881522e-6	2.466	3.80305324703805e-7	2.632	0.00155773060998679	2.385	2.37690827939878e-8	2.381	1.52122129881522e-6	2.527	2.43395407810435e-5	2.402	9.73581631241741e-5	2.514	2.43395407810435e-5	2023-02-14 plate_4	657366.5519795408	2629466.2079181634	641.9595234175184	42071459.32669064	657366.5519795408	41085.40949872134	10271.352374680324	41085.40949872134	9.507633117595125e-7	691409253858.3527	2765637015433.4106	675204349.4710455	44250192246934.59	691409253858.3527	43213078366.14708	10803269591.536758	43213078366.14708
2023-03-05 plate_1.csv	2023-03-05	Demengeot	plate_1	2.482	0.0952950306004612	2.6725900612009226	2.758	1.23256157865447e-6	2.686	3.08140394663617e-7	2.705	0.00126214305654217	2.805	0.0050485722261687	2.774	3.08140394663617e-7	3.387	0.0201942889046748	2.737	1.23256157865447e-6	3.429	7.88839410338859e-5	2023-03-05 plate_1	811318.4909525197	3245273.963810084	792.3032138208247	198.07580345520535	3245273.963810084	49.51895086380134	811318.4909525197	12676.85142113315	7.703509866590435e-7	1053180310018.3584	4212721240073.4404	1028496396.5023092	257124099.12557623	4212721240073.4404	64281024.78139406	1053180310018.3584	16455942344.036888
2023-03-05 plate_2.csv	2023-03-05	Demengeot	plate_2	2.326375	0.12426922099101731	2.5749134419820345	2.955	2.03464490016393e-6	2.648	5.08661225040982e-7	2.723	0.00833390551107145	2.844	0.00833390551107145	3.055	0.00833390551107145	2.701	0.00833390551107145	2.575	5.20869094441965e-4	2.813	1.30217273610491e-4	2023-03-05 plate_2	491486.2539008309	1965945.0156033253	119.99176120625765	119.99176120625765	119.99176120625765	119.99176120625765	1919.8681793001247	7679.472717200513	1.271653062602456e-6	386493980437.5553	1545975921750.2224	94358881.9427626	94358881.9427626	94358881.9427626	94358881.9427626	1509742111.0842035	6038968444.336825
2023-03-05 plate_3.csv	2023-03-05	Demengeot	plate_3	2.163375	0.06677026177231046	2.296915523544621	2.466	8.00228816292305e-8	2.357	8.00228816292305e-8	2.368	0.00131109489261331	2.312	8.1943430788332e-5	2.45	8.1943430788332e-5	2.588	2.0485857697083e-5	2.304	3.27773723153328e-4	2.329	3.20091526516922e-7	2023-03-05 plate_3	12496425.767735953	12496425.767735953	762.7212993002915	12203.540788804645	12203.540788804645	48814.16315521858	3050.885197201161	3124106.441933988	8.00228816292305e-8	156160656968535.1	156160656968535.1	9531290098.177208	152500641570.83508	152500641570.83508	610002566283.3403	38125160392.70877	39040164242133.77
2023-03-05 plate_4.csv	2023-03-05	Demengeot	plate_4	1.9942499999999999	0.06378031492105198	2.121810629842104	2.166	4.7735808458668e-7	2.25	1.90943233834672e-6	2.129	1.2220366965419e-4	2.149	4.8881467861676e-4	2.219	0.00782103485786816	2.182	0.00782103485786816	2.138	1.90943233834672e-6	2.19	1.1933952114667e-7	2023-03-05 plate_4	2094863.4416988015	523715.86042470037	8183.060319135949	2045.7650797839872	127.8603174864992	127.8603174864992	523715.86042470037	8379453.766795206	1.1933952114666999e-6	1755381135746.4592	438845283936.6148	6856957561.509611	1714239390.3774028	107139961.89858767	107139961.89858767	438845283936.6148	7021524542985.837
2023-03-05 plate_5.csv	2023-03-05	Demengeot	plate_5	2.6785	0.0898522596901635	2.858204519380327	2.921	4.9147348713602e-7	3.054	1.22868371784005e-7	3.061	5.03268850827284e-4	2.865	1.96589394854408e-6	2.993	1.96589394854408e-6	3.097	1.25817212706821e-4	2.879	1.25817212706821e-4	3.118	0.00805230161323654	2023-03-05 plate_5	2034697.7531327961	8138791.012531185	1987.0095245437478	508674.43828319904	508674.43828319904	7948.038098174991	7948.038098174991	124.18809528398432	3.071709294600125e-7	6623991914565.839	26495967658263.355	6468742104.068207	1655997978641.4597	1655997978641.4597	25874968416.272827	25874968416.272827	404296381.5042632
2023-03-05 plate_6.csv	2023-03-05	Demengeot	plate_6	1.80175	0.09922233331549625	2.0001946666309927	2.137	1.06840835738642e-6	2.023	2.67102089346605e-7	2.263	0.00437620063185478	2.066	0.00437620063185478	2.189	0.00437620063185478	2.003	1.66938805841628e-8	2.484	0.00437620063185478	2.127	0.00437620063185478	2023-03-05 plate_6	935971.7125821039	3743886.8503284156	228.508718892115	228.508718892115	228.508718892115	59902189.605254695	228.508718892115	228.508718892115	6.677552233665125e-7	1401668874806.2024	5606675499224.81	342204315.1382327	342204315.1382327	342204315.1382327	89706807987597.02	342204315.1382327	342204315.1382327
2023-03-05 plate_7.csv	2023-03-05	Demengeot	plate_7	2.10575	0.10550118482747006	2.31675236965494	2.445	3.97501487511337e-7	2.376	3.97501487511337e-7	2.687	0.00651266437138575	2.355	4.0704152321161e-4	2.518	0.00651266437138575	2.359	0.00162816609284644	2.328	0.00162816609284644	2.368	6.3600238001814e-6	2023-03-05 plate_7	2515713.8562191655	2515713.8562191655	153.5469882946267	2456.751812714023	153.5469882946267	614.1879531785057	614.1879531785057	157232.11601369764	3.97501487511337e-7	6328816206373.104	6328816206373.104	386280286.0335143	6180484576.536219	386280286.0335143	1545121144.1340547	1545121144.1340547	395551012898.3185
2023-03-10 plate_1.csv	2023-03-10	Demengeot	plate_1	1.13025	0.03037738820711407	1.1910047764142282	1.237	3.6574866122984e-7	1.223	9.14371653074601e-8	1.228	0.00149810651639743	1.223	0.00149810651639743	1.419	3.74526629099357e-4	1.203	5.85197857967745e-6	1.208	9.14371653074601e-8	1.221	3.6574866122984e-7	2023-03-10 plate_1	2734118.005073408	10936472.020293621	667.5092785823728	667.5092785823728	2670.037114329494	170882.37531708775	10936472.020293621	2734118.005073408	2.2859291326865007e-7	11960642025066.547	47842568100266.13	2920078619.4010024	2920078619.4010024	11680314477.604023	747540126566.658	47842568100266.13	11960642025066.547
2023-03-10 plate_2.csv	2023-03-10	Demengeot	plate_2	1.63825	0.08579169123938686	1.8098333824787738	1.931	3.51172646903477e-7	2.006	3.51172646903477e-7	1.943	0.00575361264686657	1.958	0.00575361264686657	1.971	2.24750494018225e-5	1.864	8.99001976072901e-5	2.113	5.61876235045563e-6	1.85	8.77931617258693e-8	2023-03-10 plate_2	2847602.1945833927	2847602.1945833927	173.8038448842402	173.8038448842402	44493.78429036557	11123.44607259138	177975.1371614621	11390408.778333563	3.51172646903477e-7	8108838258596.154	8108838258596.154	494924210.11939394	494924210.11939394	126700597790.56508	31675149447.641235	506802391162.2598	32435353034384.598
2023-03-10 plate_3.csv	2023-03-10	Demengeot	plate_3	1.307875	0.05975052301026325	1.4273760460205265	1.476	1.03839938100266e-7	1.491	4.15359752401065e-7	1.483	1.06332096614673e-4	1.511	1.03839938100266e-7	1.541	1.06332096614673e-4	1.523	4.2532838645869e-4	1.449	1.03839938100266e-7	1.541	2.65830241536681e-5	2023-03-10 plate_3	9630206.048798082	2407551.5121995145	9404.498094529321	9630206.048798082	9404.498094529321	2351.1245236323416	9630206.048798082	37617.9923781175	2.595998452506655e-7	37096347416922.79	9274086854230.674	36226901774.33845	37096347416922.79	36226901774.33845	9056725443.584656	37096347416922.79	144907607097.3546
2023-03-10 plate_4.csv	2023-03-10	Demengeot	plate_4	2.265375	0.11885277507427885	2.503080550148558	2.613	5.68159374700875e-7	2.596	1.42039843675219e-7	2.742	0.00930872319509914	2.631	0.00930872319509914	3.254	0.00930872319509914	2.668	2.2726374988035e-6	2.51	3.6362199980856e-5	2.745	0.00930872319509914	2023-03-10 plate_4	1760069.5236727912	7040278.094691154	107.42611838823184	107.42611838823184	107.42611838823184	440017.3809181978	27501.086307387362	107.42611838823184	3.55099609188047e-7	4956551565058.824	19826206260235.266	302523899.23454726	302523899.23454726	302523899.23454726	1239137891264.706	77446118204.04413	302523899.23454726
2023-03-10 plate_5.csv	2023-03-10	Demengeot	plate_5	1.732	0.07999642849170563	1.8919928569834112	2.06	2.40607622171708e-6	1.961	6.0151905542927e-7	1.987	6.0151905542927e-7	1.955	1.50379763857317e-7	2.034	0.00985528820415315	1.912	2.40607622171708e-6	1.903	9.62430488686832e-6	1.924	6.0151905542927e-7	2023-03-10 plate_5	415614.4310700002	1662457.724280001	1662457.724280001	6649830.897120026	101.46836696044939	415614.4310700002	103903.60776750006	1662457.724280001	1.503797638573175e-6	276376568501.824	1105506274007.296	1105506274007.296	4422025096029.198	67474748.1693907	276376568501.824	69094142125.456	1105506274007.296
2023-03-11 plate_1.csv	2023-03-11	Demengeot	plate_1	1.891625	0.09322773575651036	2.0780804715130206	2.166	5.61600987607916e-7	2.122	5.61600987607916e-7	2.116	0.00230031764524202	2.153	0.00230031764524202	2.199	0.00230031764524202	2.254	1.43769852827626e-4	2.167	0.00230031764524202	2.127	8.98561580172665e-6	2023-03-11 plate_1	1780623.6492912902	1780623.6492912902	434.72257062775714	434.72257062775714	434.72257062775714	6955.561130044126	434.72257062775714	111288.97808070571	5.61600987607916e-7	3170620580415.4316	3170620580415.4316	774077290.1404876	774077290.1404876	774077290.1404876	12385236642.247822	774077290.1404876	198163786275.9646
2023-03-11 plate_2.csv	2023-03-11	Demengeot	plate_2	1.001	0.06624629369686601	1.1334925873937318	1.267	4.77949512762125e-7	1.174	4.77949512762125e-7	1.283	0.00195768120427367	1.219	0.00195768120427367	1.147	3.0588768816776e-5	1.188	4.77949512762125e-7	1.556	0.00783072481709466	1.166	4.77949512762125e-7	2023-03-11 plate_2	2092271.1987316094	2092271.1987316094	510.80839812783273	510.80839812783273	32691.737480181397	2092271.1987316094	127.70209953195852	2092271.1987316094	4.77949512762125e-7	4377598769041.8057	4377598769041.8057	1068749699.4730937	1068749699.4730937	68399980766.27821	4377598769041.8057	267187424.86827415	4377598769041.8057
2023-03-11 plate_3.csv	2023-03-11	Demengeot	plate_3	2.112125	0.12453735813573609	2.361199716271472	2.589	1.84615505022312e-6	2.61	1.84615505022312e-6	2.579	0.00756185108571392	2.371	2.953848080357e-5	2.479	7.3846202008925e-6	2.616	0.00756185108571392	2.705	0.00189046277142848	2.452	1.1815392321428e-4	2023-03-11 plate_3	541666.3133896275	541666.3133896275	132.24275229238916	33854.144586851624	135416.5783474065	132.24275229238916	528.9710091695566	8463.536146712906	1.84615505022312e-6	293402395061.11017	293402395061.11017	71631444.10671614	18337649691.319332	73350598765.27733	71631444.10671614	286525776.42686456	4584412422.829833
2023-03-11 plate_4.csv	2023-03-11	Demengeot	plate_4	2.0707500000000003	0.12154217375051346	2.313834347501027	3.369	6.27282651312564e-6	2.646	1.56820662828141e-6	2.521	0.00642337434944066	2.465	0.00642337434944066	2.359	0.00642337434944066	2.338	9.80129142675882e-8	2.738	0.00642337434944066	2.584	0.00160584358736016	2023-03-11 plate_4	159417.76771723875	637671.070868955	155.68141378636585	155.68141378636585	155.68141378636585	10202737.133903272	155.68141378636585	622.7256551454653	3.920516570703525e-6	40662439462.31599	162649757849.26395	39709413.537417926	39709413.537417926	39709413.537417926	2602396125588.221	39709413.537417926	158837654.14967218
2023-03-14 plate_1.csv	2023-03-14	Demengeot	plate_1	2.554875	0.1360183154683852	2.8269116309367703	3.146	2.74922903370926e-6	3.019	6.87307258427316e-7	3.207	0.0112608421220731	2.926	0.00281521053051829	2.846	1.71826814606829e-7	3.037	0.0112608421220731	3.038	1.75950658157393e-4	2.87	0.00281521053051829	2023-03-14 plate_1	363738.3381808681	1454953.3527234702	88.80330521993872	355.213220879753	5819813.410893881	88.80330521993872	5683.411534076052	355.213220879753	1.718268146068288e-6	211688925860.12723	846755703440.5077	51681866.66507026	206727466.66027993	3387022813762.031	51681866.66507026	3307639466.564481	206727466.66027993
2023-03-14 plate_2.csv	2023-03-14	Demengeot	plate_2	2.327125	0.13770303192014327	2.6025310638402868	2.64	6.21387322461328e-7	2.734	2.48554928984531e-6	2.734	0.0025452024728016	2.915	0.0101808098912064	2.867	6.363006182004e-4	2.726	0.0101808098912064	2.902	0.0101808098912064	2.891	0.0101808098912064	2023-03-14 plate_2	1609302.2239961051	402325.55599902663	392.896050780299	98.22401269507475	1571.584203121196	98.22401269507475	98.22401269507475	98.22401269507475	1.553468306153319e-6	1035941459263.5247	258985364815.8814	252915395.3280089	63228848.83200222	1011661581.3120356	63228848.83200222	63228848.83200222	63228848.83200222
2023-03-14 plate_3.csv	2023-03-14	Demengeot	plate_3	1.68925	0.13213169837054886	1.9535133967410976	2.07	1.79814348442571e-6	1.968	1.79814348442571e-6	2.546	0.0294607828488309	2.096	0.00736519571220771	2.092	4.60324732012982e-4	2.276	1.15081183003246e-4	2.081	0.00736519571220771	2.147	2.87702957508114e-5	2023-03-14 plate_3	556129.1457891522	556129.1457891522	33.943429308419866	135.77371723367972	2172.379475738875	8689.517902955462	135.77371723367972	34758.07161182197	1.79814348442571e-6	309279626796.1722	309279626796.1722	18876930.346446015	75507721.38578421	1208123542.172547	4832494168.690167	75507721.38578421	19329976674.76074
2023-03-14 plate_4.csv	2023-03-14	Demengeot	plate_4	1.9368750000000001	0.10389752850078506	2.14467005700157	2.267	1.51338645053822e-6	2.148	3.78346612634554e-7	2.272	0.00619883090140454	2.161	0.00619883090140454	2.197	0.00619883090140454	2.168	2.42141832086115e-5	2.426	3.87426931337783e-4	2.149	0.00154970772535113	2023-03-14 plate_4	660769.7588704858	2643079.0354819503	161.32074191173993	161.32074191173993	161.32074191173993	41298.1099294054	2581.131870587844	645.2829676469618	9.45866531586387e-7	698586678780.4163	2794346715121.673	170553388.3741253	170553388.3741253	170553388.3741253	43661667423.776054	2728854213.9860106	682213553.4965035
