Title,Date,Lab,Plate,Mean_Col1,Mean_Col2,S.D._Col1,S.D._Col2
2023-09-09_plate_5.csv,2023-09-09,Demengeot,plate__5,5.2170000000000005,5.235,2.268116639617348,2.2294037931086583
2023-04-10_plate_8.csv,2023-04-10,Demengeot,plate__8,4.632333333333334,4.623500000000001,2.2597688672369425,2.2847161152477407
2023-08-21_plate_4.csv,2023-08-21,Demengeot,plate__4,4.6314166666666665,4.599666666666667,2.122051814050532,2.2056731948374044
2023-07-04_plate_2.csv,2023-07-04,Demengeot,plate__2,6.545166666666667,6.4736666666666665,3.958703020695112,3.8909670761751234
2023-09-12_plate_4.csv,2023-09-12,Demengeot,plate__4,5.8364166666666675,5.914416666666667,2.7025666406158604,2.6723031761294442
2023-07-04_plate_5.csv,2023-07-04,Demengeot,plate__5,3.4325833333333335,3.49175,1.9986934577065059,2.0186625691734164
2023-09-12_plate_3.csv,2023-09-12,Demengeot,plate__3,6.0055000000000005,6.1305000000000005,3.2818323457261718,3.3330107192365066
2023-09-09_plate_2.csv,2023-09-09,Demengeot,plate__2,5.40675,5.294,3.2881958060752567,3.1622729742443747
2023-08-21_plate_3.csv,2023-08-21,Demengeot,plate__3,5.623583333333333,5.739416666666666,3.4497611895827682,3.4994474747862525
2023-05-23_plate_1.csv,2023-05-23,Demengeot,plate__1,5.01275,4.977083333333334,2.4930418121789946,2.463381506581897
2023-01-24_plate_1.csv,2023-01-24,Demengeot,plate__1,5.053249999999999,5.08675,2.983566051952535,2.968077863625793
2023-08-31_plate_3.csv,2023-08-31,Demengeot,plate__3,4.843749999999999,4.851833333333333,2.5597796824584873,2.6018504545570615
2023-01-17_plate_5.csv,2023-01-17,Demengeot,plate__5,6.381333333333334,6.303583333333332,3.6287769623420285,3.5506248735151167
2023-06-27_plate_5.csv,2023-06-27,Demengeot,plate__5,3.52725,3.650916666666666,1.9299103665008053,2.0306942591740453
2023-04-23_plate_5.csv,2023-04-23,Demengeot,plate__5,7.0905,7.039416666666668,4.493797007593305,4.392877736815135
2023-04-10_plate_1.csv,2023-04-10,Demengeot,plate__1,5.392083333333333,5.416666666666668,3.056059449039008,3.0314569354544934
2023-01-24_plate_6.csv,2023-01-24,Demengeot,plate__6,7.133500000000001,7.075666666666667,4.2681451048861545,4.114321668012698
2023-01-17_plate_2.csv,2023-01-17,Demengeot,plate__2,6.425000000000001,6.556416666666666,4.065604327213181,4.174645122823634
2023-08-31_plate_4.csv,2023-08-31,Demengeot,plate__4,5.317333333333333,5.435083333333334,3.194614027997559,3.1022113361668997
2023-06-27_plate_2.csv,2023-06-27,Demengeot,plate__2,5.830333333333333,5.771249999999999,3.6613376674586453,3.726965036911889
2023-04-23_plate_2.csv,2023-04-23,Demengeot,plate__2,6.6003333333333325,6.501999999999999,4.012666769875192,3.8974508918709234
2023-04-10_plate_6.csv,2023-04-10,Demengeot,plate__6,2.9311666666666665,2.947083333333333,1.1183628321088037,1.0806325974197062
2023-04-03_plate_5.csv,2023-04-03,Demengeot,plate__5,5.4485833333333344,5.513833333333333,2.991775953520017,3.127227899167781
2023-02-14_plate_4.csv,2023-02-14,Demengeot,plate__4,7.466333333333334,7.051749999999998,4.802616622659196,4.573575309715186
2023-05-24_plate_4.csv,2023-05-24,Demengeot,plate__4,5.127833333333334,5.029166666666666,2.661114661645425,2.6688655347214936
2023-06-07_plate_5.csv,2023-06-07,Demengeot,plate__5,6.840000000000001,7.013333333333332,4.3597888189056295,4.498723684321897
2023-05-03_plate_1.csv,2023-05-03,Demengeot,plate__1,5.4455833333333326,5.4504166666666665,2.9637770575685507,2.8342695534326214
2023-03-14_plate_7.csv,2023-03-14,Demengeot,plate__7,7.799833333333332,7.754333333333334,5.448955026313566,5.349515259829764
2023-04-03_plate_2.csv,2023-04-03,Demengeot,plate__2,4.507083333333333,4.59675,2.1484526972740734,2.227069910524507
2023-02-14_plate_3.csv,2023-02-14,Demengeot,plate__3,8.08375,8.046333333333331,4.397490505959053,4.436212293742434
2023-05-24_plate_3.csv,2023-05-24,Demengeot,plate__3,7.248500000000001,7.382416666666667,3.546560369505284,3.741624257369162
2023-06-07_plate_2.csv,2023-06-07,Demengeot,plate__2,5.248666666666667,5.2798333333333325,2.727285741383091,2.7547581591042647
2023-08-01_plate_4.csv,2023-08-01,Demengeot,plate__4,6.324000000000001,6.214000000000001,3.3103239885381175,3.222840531411552
2023-06-18_plate_2.csv,2023-06-18,Demengeot,plate__2,5.793666666666667,5.754416666666667,3.0078421541434692,2.9511140102536113
2023-08-01_plate_3.csv,2023-08-01,Demengeot,plate__3,5.895,5.81475,3.595954772695664,3.7349375101258997
2023-06-24_plate_1.csv,2023-06-24,Demengeot,plate__1,5.3725,5.341166666666666,3.1808425841991212,3.0925511631935367
2023-03-10_plate_1.csv,2023-03-10,Demengeot,plate__1,5.00125,5.0246666666666675,3.5705059260813194,3.5189554062981743
2023-06-18_plate_5.csv,2023-06-18,Demengeot,plate__5,6.247416666666666,6.3892500000000005,3.8564150441082248,3.911921688308004
2023-04-20_plate_1.csv,2023-04-20,Demengeot,plate__1,5.564500000000002,5.525333333333333,2.8826794196309162,2.958656031909001
2023-05-21_plate_1.csv,2023-05-21,Demengeot,plate__1,6.887166666666666,6.8196666666666665,4.679797875070584,4.836342914628654
2023-03-05_plate_4.csv,2023-03-05,Demengeot,plate__4,4.419666666666666,4.2785,2.2358098119364973,2.1394788022914706
2023-07-25_plate_1.csv,2023-07-25,Demengeot,plate__1,8.184666666666665,8.445916666666667,5.273791965651442,5.693987777525173
