ID,Date,Lab,Plate,Mean_Col1,Mean_Col2,S.D._Col1,S.D._Col2,Mean_Last_Row,S.D._Last_Row,Threshold,csv_path,Mean_Reference,Title_ref1,Title_ref2,Title_ctrl1,Title_ctrl2,Title_infec1,Title_infec2,Title_infec3,Title_infec4
2023-01-11_plate_1.csv,2023-01-11,Demengeot,plate__1,6.660833333333334,6.771833333333333,4.09415079069759,4.047031658193971,2.2415000000000003,0.09982413106487409,2.4411482621297482,/home/mdiaz/workshop_carneiro/RawData/Demengeot/2023-01-11_plate_1.csv,6.716333333333332,2490832.5023225443,2490832.5023225443,152.02835097183592,608.113403887353,608.113403887353,38919.257848789835,38919.257848789835,622708.1255806369
2023-01-11_plate_2.csv,2023-01-11,Demengeot,plate__2,6.464333333333332,6.528499999999998,3.7293753396839024,3.704256924625554,2.5395000000000003,0.094701033332724,2.7289020666654484,/home/mdiaz/workshop_carneiro/RawData/Demengeot/2023-01-11_plate_2.csv,6.496416666666668,694368.2142075493,694368.2142075493,42.38087244919133,169.52348979676532,678.0939591870957,2712.375836748567,42.38087244919133,169.52348979676532
2023-01-11_plate_3.csv,2023-01-11,Demengeot,plate__3,7.219750000000001,7.319999999999999,4.440487854545223,4.534995058632168,2.251125,0.12224499697621276,2.4956149939524255,/home/mdiaz/workshop_carneiro/RawData/Demengeot/2023-01-11_plate_3.csv,7.269874999999999,522875.60692889575,2091502.427715576,510.62070989151357,127.65517747287511,510.62070989151357,510.62070989151357,127.65517747287511,8366009.7108623395
2023-01-11_plate_4.csv,2023-01-11,Demengeot,plate__4,4.666083333333333,4.706166666666666,2.2467426303361266,2.286973738106295,2.2775000000000003,0.05274195944136206,2.3829839188827244,/home/mdiaz/workshop_carneiro/RawData/Demengeot/2023-01-11_plate_4.csv,4.6861250000000005,464016.0202904872,464016.0202904872,113.28516120373314,113.28516120373314,116004.00507262167,116004.00507262167,453.14064481494285,7250.250317041714
2023-01-11_plate_5.csv,2023-01-11,Demengeot,plate__5,5.800083333333333,5.698916666666666,3.9036311175001095,3.860419653550006,1.349875,0.10961939022949231,1.5691137804589845,/home/mdiaz/workshop_carneiro/RawData/Demengeot/2023-01-11_plate_5.csv,5.7494999999999985,2117939.023442849,529484.7558607133,129.26873922380796,129.26873922380796,33092.79724129447,33092.79724129447,129.26873922380796,2117939.023442849
2023-01-17_plate_1.csv,2023-01-17,Demengeot,plate__1,4.738833333333333,4.745416666666666,2.2507058219522373,2.1787873799363022,2.1743749999999995,0.07474707352130926,2.323869147042618,/home/mdiaz/workshop_carneiro/RawData/Demengeot/2023-01-17_plate_1.csv,4.742124999999999,5354504.274228152,1338626.0685570398,81.70325125470221,81.70325125470221,1307.2520200753206,81.70325125470221,81.70325125470221,326.81300501880884
2023-01-17_plate_2.csv,2023-01-17,Demengeot,plate__2,6.425000000000001,6.556416666666666,4.065604327213181,4.174645122823634,1.808875,0.09534963854901901,1.999574277098038,/home/mdiaz/workshop_carneiro/RawData/Demengeot/2023-01-17_plate_2.csv,6.490708333333333,1713927.8459440977,1713927.8459440977,418.4394155137027,418.4394155137027,6695.030648219244,1713927.8459440977,418.4394155137027,26780.12259287655
2023-01-17_plate_3.csv,2023-01-17,Demengeot,plate__3,6.488000000000002,6.5015,3.7232398159765006,3.718770776870912,2.51525,0.13858751747542053,2.792425034950841,/home/mdiaz/workshop_carneiro/RawData/Demengeot/2023-01-17_plate_3.csv,6.494749999999999,3050392.7003325317,762598.1750831329,186.18119508865635,186.18119508865635,186.18119508865635,186.18119508865635,190649.54377078323,186.18119508865635
2023-01-17_plate_4.csv,2023-01-17,Demengeot,plate__4,5.957750000000001,6.1155,3.747510134015044,3.90882794570072,1.75275,0.07458791552830218,1.9019258310566043,/home/mdiaz/workshop_carneiro/RawData/Demengeot/2023-01-17_plate_4.csv,6.036625,477275.27836355165,7636404.453816819,466.089139026911,466.089139026911,466.089139026911,477275.27836355165,1909101.1134542048,477275.27836355165
2023-01-17_plate_5.csv,2023-01-17,Demengeot,plate__5,6.381333333333334,6.303583333333332,3.6287769623420285,3.5506248735151167,2.316,0.12142605039399779,2.5588521007879956,/home/mdiaz/workshop_carneiro/RawData/Demengeot/2023-01-17_plate_5.csv,6.342458333333333,9255185.346341794,578449.0841463616,144612.2710365908,9038.26693979482,141.2229209341724,36153.06775914765,578449.0841463616,35.305730233542604
2023-01-17_plate_6.csv,2023-01-17,Demengeot,plate__6,7.346916666666668,7.262416666666667,4.6943570662180685,4.667515037874852,2.3725,0.06501428414477191,2.5025285682895437,/home/mdiaz/workshop_carneiro/RawData/Demengeot/2023-01-17_plate_6.csv,7.304666666666665,13803762.240561128,862735.1400350705,3370.0591407625575,842.5147851904975,215683.78500876762,13803762.240561128,13803762.240561128,13803762.240561128
2023-01-24_plate_1.csv,2023-01-24,Demengeot,plate__1,5.053249999999999,5.08675,2.983566051952535,2.968077863625793,1.8402500000000002,0.06581738806294708,1.9718847761258944,/home/mdiaz/workshop_carneiro/RawData/Demengeot/2023-01-24_plate_1.csv,5.070000000000001,2568574.0358599066,2568574.0358599066,2508.373081894815,2568574.0358599066,627.0932704736251,156.77331761840384,156.77331761840384,40133.969310311084
